ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
3 0 0 4.0 0.0444444444 0.0444444444 15.96 22.8 100.0 0.99999 1.0
4 0 0 6.0 0.0888888888 0.0444444444 15.96 22.8 100.0 0.99999 1.0
5 0 0 8.0 0.1333333332 0.0444444444 15.96 22.8 100.0 0.99999 1.0
6 0 0 10.0 0.1777777776 0.0444444444 15.96 22.8 100.0 0.99999 1.0
7 0 0 12.0 0.222222222 0.0444444444 15.96 22.8 100.0 0.99999 1.0
8 0 0 14.0 0.2666666664 0.0444444444 15.96 22.8 100.0 0.99999 1.0
9 0 0 16.0 0.3111111108 0.0444444444 15.96 22.8 100.0 0.99999 1.0
10 0 0 18.0 0.3555555552 0.0444444444 15.96 22.8 100.0 0.99999 1.0
11 0 0 20.0 0.3999999996 0.0444444444 15.96 22.8 100.0 0.99999 1.0
12 0 0 22.0 0.444444444 0.0444444444 15.96 22.8 100.0 0.99999 1.0
14 0 0 25.0 0.4888888884 0.0444444444 15.96 22.8 100.0 0.99999 1.0
15 0 0 27.0 0.5333333328 0.0444444444 15.96 22.8 100.0 0.99999 1.0
16 0 0 29.0 0.5777777772 0.0444444444 15.96 22.8 100.0 0.99999 1.0
17 0 0 31.0 0.6222222216 0.0444444444 15.96 22.8 100.0 0.99999 1.0
17 0 0 32.0 0.666666666 0.0444444444 15.96 22.8 100.0 0.99999 1.0
19 0 0 35.0 0.7111111104 0.0444444444 15.96 22.8 100.0 0.99999 1.0
19 0 0 36.0 0.7555555548 0.0444444444 15.96 22.8 100.0 0.99999 1.0
20 2 0.009999999999999247 40.0 0.7999999992 0.0444444444 15.96 22.8 100.0 0.99999 1.0
20 3 0.059999999999999255 42.0 0.8444444436 0.0444444444 15.96 22.8 100.0 0.99999 1.0
19 5 0.14999999999999925 44.0 0.888888888 0.0444444444 15.96 22.8 100.0 0.99999 1.0
2 23 0.98 46.0 0.9333333324 0.0444444444 15.96 22.8 100.0 0.99999 1.0
2 24 0.98 48.0 0.9777777768 0.0444444444 15.96 22.8 100.0 0.99999 1.0
3 24 0.94 50.0 1.0222222212 0.0444444444 15.96 22.8 100.0 0.99999 1.0
5 24 0.8699999999999999 53.0 1.0666666656 0.0444444444 15.96 22.8 100.0 0.99999 1.0
6 24 0.8399999999999999 55.0 1.11111111 0.0444444444 15.96 22.8 100.0 0.99999 1.0
7 24 0.8099999999999998 57.0 1.1555555544 0.0444444444 15.96 22.8 100.0 0.99999 1.0
8 24 0.7799999999999998 59.0 1.1999999988 0.0444444444 15.96 22.8 100.0 0.99999 1.0
9 24 0.7499999999999998 61.0 1.2444444432 0.0444444444 15.96 22.8 100.0 0.99999 1.0
10 24 0.7299999999999998 63.0 1.2888888876 0.0444444444 15.96 22.8 100.0 0.99999 1.0
11 24 0.6999999999999997 65.0 1.333333332 0.0444444444 15.96 22.8 100.0 0.99999 1.0
12 24 0.6799999999999997 67.0 1.3777777764 0.0444444444 15.96 22.8 100.0 0.99999 1.0
4 32 0.9299999999999999 68.0 1.4222222208 0.0444444444 15.96 22.8 100.0 0.99999 1.0
3 34 0.96 70.0 1.4666666652 0.0444444444 15.96 22.8 100.0 0.99999 1.0
4 34 0.94 72.0 1.5111111096 0.0444444444 15.96 22.8 100.0 0.99999 1.0
5 34 0.9099999999999999 74.0 1.555555554 0.0444444444 15.96 22.8 100.0 0.99999 1.0
6 34 0.8899999999999999 76.0 1.5999999984 0.0444444444 15.96 22.8 100.0 0.99999 1.0
6 35 0.8899999999999999 78.0 1.6444444428 0.0444444444 15.96 22.8 100.0 0.99999 1.0
7 35 0.8699999999999999 80.0 1.6888888872 0.0444444444 15.96 22.8 100.0 0.99999 1.0
7 36 0.8699999999999999 82.0 1.7333333316 0.0444444444 15.96 22.8 100.0 0.99999 1.0
8 36 0.8499999999999999 84.0 1.777777776 0.0444444444 15.96 22.8 100.0 0.99999 1.0
9 36 0.83 86.0 1.8222222204 0.0444444444 15.96 22.8 100.0 0.99999 1.0
10 36 0.8099999999999999 88.0 1.8666666648 0.0444444444 15.96 22.8 100.0 0.99999 1.0
11 36 0.7899999999999999 90.0 1.9111111092 0.0444444444 15.96 22.8 100.0 0.99999 1.0
13 36 0.7599999999999999 93.0 1.9555555536 0.0444444444 15.96 22.8 100.0 0.99999 1.0
13 36 0.7599999999999999 94.0 1.999999998 0.0444444444 15.96 22.8 100.0 0.99999 1.0
14 36 0.7399999999999999 96.0 2.0444444424 0.0444444444 15.96 22.8 100.0 0.99999 1.0
16 36 0.71 99.0 2.0888888868 0.0444444444 15.96 22.8 100.0 0.99999 1.0
16 36 0.71 100.0 2.1333333312 0.0444444444 15.96 22.8 100.0 0.99999 1.0
18 36 0.6799999999999999 103.0 2.1777777756 0.0444444444 15.96 22.8 100.0 0.99999 1.0
19 36 0.6699999999999999 105.0 2.22222222 0.0444444444 15.96 22.8 100.0 0.99999 1.0
19 36 0.6699999999999999 106.00000000000001 2.2666666644 0.0444444444 15.96 22.8 100.0 0.99999 1.0
20 37 0.6599999999999999 109.0 2.3111111088 0.0444444444 15.96 22.8 100.0 0.99999 1.0
20 38 0.6699999999999999 111.0 2.3555555532 0.0444444444 15.96 22.8 100.0 0.99999 1.0
20 39 0.6699999999999999 113.0 2.3999999976 0.0444444444 15.96 22.8 100.0 0.99999 1.0
20 40 0.6799999999999999 115.0 2.444444442 0.0444444444 15.96 22.8 100.0 0.99999 1.0
