ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
0 3 1.0 4.0 0.0444444444 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 4 1.0 6.0 0.0888888888 0.0444444444 9.12 22.8 100.0 0.99999 1.0
0 5 1.0 8.0 0.1333333332 0.0444444444 9.12 22.8 100.0 0.99999 1.0
6 0 0 10.0 0.1777777776 0.0444444444 9.12 22.8 100.0 0.99999 1.0
7 0 0 12.0 0.222222222 0.0444444444 9.12 22.8 100.0 0.99999 1.0
8 0 0 14.0 0.2666666664 0.0444444444 9.12 22.8 100.0 0.99999 1.0
9 0 0 16.0 0.3111111108 0.0444444444 9.12 22.8 100.0 0.99999 1.0
10 0 0 18.0 0.3555555552 0.0444444444 9.12 22.8 100.0 0.99999 1.0
11 0 0 20.0 0.3999999996 0.0444444444 9.12 22.8 100.0 0.99999 1.0
12 0 0 22.0 0.444444444 0.0444444444 9.12 22.8 100.0 0.99999 1.0
13 0 0 24.0 0.4888888884 0.0444444444 9.12 22.8 100.0 0.99999 1.0
14 0 0 26.0 0.5333333328 0.0444444444 9.12 22.8 100.0 0.99999 1.0
15 0 0 28.0 0.5777777772 0.0444444444 9.12 22.8 100.0 0.99999 1.0
16 0 0 30.0 0.6222222216 0.0444444444 9.12 22.8 100.0 0.99999 1.0
17 0 0 32.0 0.666666666 0.0444444444 9.12 22.8 100.0 0.99999 1.0
18 0 0 34.0 0.7111111104 0.0444444444 9.12 22.8 100.0 0.99999 1.0
19 0 0 36.0 0.7555555548 0.0444444444 9.12 22.8 100.0 0.99999 1.0
20 0 0 38.0 0.7999999992 0.0444444444 9.12 22.8 100.0 0.99999 1.0
20 3 0.059999999999999255 42.0 0.8444444436 0.0444444444 9.12 22.8 100.0 0.99999 1.0
20 4 0.09999999999999924 44.0 0.888888888 0.0444444444 9.12 22.8 100.0 0.99999 1.0
20 5 0.13999999999999924 46.0 0.9333333324 0.0444444444 9.12 22.8 100.0 0.99999 1.0
19 7 0.2199999999999993 47.99999999999999 0.9777777768 0.0444444444 9.12 22.8 100.0 0.99999 1.0
19 9 0.28999999999999937 51.0 1.0222222212 0.0444444444 9.12 22.8 100.0 0.99999 1.0
19 10 0.3199999999999994 53.0 1.0666666656 0.0444444444 9.12 22.8 100.0 0.99999 1.0
19 11 0.3399999999999994 55.0 1.11111111 0.0444444444 9.12 22.8 100.0 0.99999 1.0
19 12 0.36999999999999944 56.99999999999999 1.1555555544 0.0444444444 9.12 22.8 100.0 0.99999 1.0
19 13 0.38999999999999946 59.0 1.1999999988 0.0444444444 9.12 22.8 100.0 0.99999 1.0
19 14 0.4099999999999995 61.0 1.2444444432 0.0444444444 9.12 22.8 100.0 0.99999 1.0
19 15 0.4299999999999995 63.0 1.2888888876 0.0444444444 9.12 22.8 100.0 0.99999 1.0
19 16 0.4499999999999995 65.0 1.333333332 0.0444444444 9.12 22.8 100.0 0.99999 1.0
19 17 0.46999999999999953 67.00000000000001 1.3777777764 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 32 0.9299999999999999 68.0 1.4222222208 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 33 0.9299999999999999 70.0 1.4666666652 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 34 0.94 72.0 1.5111111096 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 35 0.94 74.0 1.555555554 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 36 0.95 76.0 1.5999999984 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 37 0.94 78.0 1.6444444428 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 38 0.94 80.0 1.6888888872 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 39 0.95 82.0 1.7333333316 0.0444444444 9.12 22.8 100.0 0.99999 1.0
4 40 0.95 84.0 1.777777776 0.0444444444 9.12 22.8 100.0 0.99999 1.0
5 40 0.93 86.0 1.8222222204 0.0444444444 9.12 22.8 100.0 0.99999 1.0
6 40 0.9 88.0 1.8666666648 0.0444444444 9.12 22.8 100.0 0.99999 1.0
7 40 0.88 90.0 1.9111111092 0.0444444444 9.12 22.8 100.0 0.99999 1.0
8 40 0.86 92.0 1.9555555536 0.0444444444 9.12 22.8 100.0 0.99999 1.0
9 40 0.84 94.0 1.999999998 0.0444444444 9.12 22.8 100.0 0.99999 1.0
10 40 0.83 96.0 2.0444444424 0.0444444444 9.12 22.8 100.0 0.99999 1.0
11 40 0.81 98.0 2.0888888868 0.0444444444 9.12 22.8 100.0 0.99999 1.0
12 40 0.79 100.0 2.1333333312 0.0444444444 9.12 22.8 100.0 0.99999 1.0
14 40 0.77 103.0 2.1777777756 0.0444444444 9.12 22.8 100.0 0.99999 1.0
14 40 0.76 104.0 2.22222222 0.0444444444 9.12 22.8 100.0 0.99999 1.0
16 40 0.74 107.0 2.2666666644 0.0444444444 9.12 22.8 100.0 0.99999 1.0
16 40 0.73 108.0 2.3111111088 0.0444444444 9.12 22.8 100.0 0.99999 1.0
17 40 0.72 110.0 2.3555555532 0.0444444444 9.12 22.8 100.0 0.99999 1.0
19 40 0.7 113.0 2.3999999976 0.0444444444 9.12 22.8 100.0 0.99999 1.0
19 40 0.69 114.0 2.444444442 0.0444444444 9.12 22.8 100.0 0.99999 1.0
20 40 0.68 116.0 2.4888888864 0.0444444444 9.12 22.8 100.0 0.99999 1.0
