ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
3 0 0 1002.9999999999999 0.0444444444 0.0444444444 18.2 22.8 100.0 0.99999 0.25
4 0 0 2003.9999999999998 0.0888888888 0.0444444444 18.2 22.8 100.0 0.99999 0.25
5 0 0 3005.0 0.1333333332 0.0444444444 18.2 22.8 100.0 0.99999 0.25
6 0 0 4005.9999999999995 0.1777777776 0.0444444444 18.2 22.8 100.0 0.99999 0.25
7 0 0 5007.0 0.222222222 0.0444444444 18.2 22.8 100.0 0.99999 0.25
8 0 0 6008.0 0.2666666664 0.0444444444 18.2 22.8 100.0 0.99999 0.25
10 0 0 7010.0 0.3111111108 0.0444444444 18.2 22.8 100.0 0.99999 0.25
11 0 0 8010.999999999999 0.3555555552 0.0444444444 18.2 22.8 100.0 0.99999 0.25
12 0 0 9012.0 0.3999999996 0.0444444444 18.2 22.8 100.0 0.99999 0.25
13 0 0 10013.0 0.444444444 0.0444444444 18.2 22.8 100.0 0.99999 0.25
14 0 0 11014.0 0.4888888884 0.0444444444 18.2 22.8 100.0 0.99999 0.25
15 0 0 12015.0 0.5333333328 0.0444444444 18.2 22.8 100.0 0.99999 0.25
16 0 0 13016.000000000002 0.5777777772 0.0444444444 18.2 22.8 100.0 0.99999 0.25
17 0 0 14017.0 0.6222222216 0.0444444444 18.2 22.8 100.0 0.99999 0.25
18 0 0 15018.0 0.666666666 0.0444444444 18.2 22.8 100.0 0.99999 0.25
19 0 0 16018.999999999998 0.7111111104 0.0444444444 18.2 22.8 100.0 0.99999 0.25
20 0 0 17020.0 0.7555555548 0.0444444444 18.2 22.8 100.0 0.99999 0.25
20 2 0.009999999999999247 18567.99999999996 0.7999999992 0.0444444444 18.2 22.8 100.0 0.99999 0.25
20 3 0.059999999999999255 22451.999999999956 0.8444444436 0.0444444444 18.2 22.8 100.0 0.99999 0.25
20 5 0.10999999999999924 26639.999999999953 0.888888888 0.0444444444 18.2 22.8 100.0 0.99999 0.25
20 6 0.14999999999999925 30493.99999999995 0.9333333324 0.0444444444 18.2 22.8 100.0 0.99999 0.25
20 7 0.18999999999999928 34587.999999999956 0.9777777768 0.0444444444 18.2 22.8 100.0 0.99999 0.25
20 8 0.22999999999999932 38921.999999999956 1.0222222212 0.0444444444 18.2 22.8 100.0 0.99999 0.25
