ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
2 0 0 12.0 0.0444444444 0.0444444444 6.84 22.8 150.0 0.99 0.2
3 0 0 23.0 0.0888888888 0.0444444444 6.84 22.8 150.0 0.99 0.2
4 0 0 34.0 0.1333333332 0.0444444444 6.84 22.8 150.0 0.99 0.2
5 0 0 45.0 0.1777777776 0.0444444444 6.84 22.8 150.0 0.99 0.2
6 0 0 56.0 0.222222222 0.0444444444 6.84 22.8 150.0 0.99 0.2
7 0 0 67.0 0.2666666664 0.0444444444 6.84 22.8 150.0 0.99 0.2
8 0 0 78.0 0.3111111108 0.0444444444 6.84 22.8 150.0 0.99 0.2
9 0 0 89.0 0.3555555552 0.0444444444 6.84 22.8 150.0 0.99 0.2
10 0 0 100.0 0.3999999996 0.0444444444 6.84 22.8 150.0 0.99 0.2
11 0 0 111.0 0.444444444 0.0444444444 6.84 22.8 150.0 0.99 0.2
12 0 0 122.0 0.4888888884 0.0444444444 6.84 22.8 150.0 0.99 0.2
13 0 0 133.0 0.5333333328 0.0444444444 6.84 22.8 150.0 0.99 0.2
14 0 0 144.0 0.5777777772 0.0444444444 6.84 22.8 150.0 0.99 0.2
15 0 0 155.0 0.6222222216 0.0444444444 6.84 22.8 150.0 0.99 0.2
16 0 0 166.00000000000003 0.666666666 0.0444444444 6.84 22.8 150.0 0.99 0.2
17 0 0 177.0 0.7111111104 0.0444444444 6.84 22.8 150.0 0.99 0.2
18 0 0 188.0 0.7555555548 0.0444444444 6.84 22.8 150.0 0.99 0.2
19 0 0 199.0 0.7999999992 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 1 0.009999999999999247 222.59999999999945 0.8444444436 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 2 0.059999999999999255 277.99999999999943 0.888888888 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 3 0.09999999999999924 328.9999999999994 0.9333333324 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 4 0.13999999999999924 383.1999999999993 0.9777777768 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 5 0.17999999999999927 440.59999999999934 1.0222222212 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 6 0.2099999999999993 491.5999999999993 1.0666666656 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 7 0.24999999999999933 554.9999999999993 1.11111111 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 8 0.26999999999999935 600.7999999999994 1.1555555544 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 9 0.2999999999999994 658.9999999999993 1.1999999988 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 10 0.3299999999999994 719.5999999999992 1.2444444432 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 11 0.3499999999999994 770.9999999999993 1.2888888876 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 12 0.36999999999999944 823.9999999999994 1.333333332 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 13 0.38999999999999946 878.5999999999995 1.3777777764 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 14 0.4099999999999995 934.7999999999994 1.4222222208 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 15 0.4299999999999995 992.5999999999995 1.4666666652 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 17 0.4499999999999995 1056.9999999999995 1.5111111096 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 17 0.4599999999999995 1098.9999999999993 1.555555554 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 19 0.47999999999999954 1166.1999999999994 1.5999999984 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 20 0.48999999999999955 1215.1999999999994 1.6444444428 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 21 0.5099999999999996 1280.1999999999994 1.6888888872 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 22 0.5199999999999996 1331.1999999999994 1.7333333316 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 23 0.5299999999999996 1382.9999999999995 1.777777776 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 24 0.5399999999999997 1435.5999999999995 1.8222222204 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 25 0.5499999999999997 1488.9999999999995 1.8666666648 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 26 0.5599999999999997 1543.1999999999994 1.9111111092 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 27 0.5699999999999997 1598.1999999999994 1.9555555536 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 28 0.5799999999999997 1654.0 1.999999998 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 29 0.5899999999999997 1710.6 2.0444444424 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 30 0.5999999999999999 1767.9999999999998 2.0888888868 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 31 0.6099999999999999 1826.1999999999998 2.1333333312 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 32 0.6199999999999999 1885.1999999999998 2.1777777756 0.0444444444 6.84 22.8 150.0 0.99 0.2
20 34 0.6299999999999999 1949.9999999999998 2.22222222 0.0444444444 6.84 22.8 150.0 0.99 0.2
