ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
3 0 0 4.0 0.0444444444 0.0444444444 4.56 22.8 50.0 0.99 0.125
4 0 0 6.0 0.0888888888 0.0444444444 4.56 22.8 50.0 0.99 0.125
5 0 0 8.0 0.1333333332 0.0444444444 4.56 22.8 50.0 0.99 0.125
6 0 0 10.0 0.1777777776 0.0444444444 4.56 22.8 50.0 0.99 0.125
7 0 0 12.0 0.222222222 0.0444444444 4.56 22.8 50.0 0.99 0.125
9 0 0 15.0 0.2666666664 0.0444444444 4.56 22.8 50.0 0.99 0.125
10 0 0 16.979999999999965 0.3111111108 0.0444444444 4.56 22.8 50.0 0.99 0.125
11 0 0 19.0 0.3555555552 0.0444444444 4.56 22.8 50.0 0.99 0.125
12 0 0 21.0 0.3999999996 0.0444444444 4.56 22.8 50.0 0.99 0.125
13 0 0 23.0 0.444444444 0.0444444444 4.56 22.8 50.0 0.99 0.125
14 0 0 25.0 0.4888888884 0.0444444444 4.56 22.8 50.0 0.99 0.125
15 0 0 27.0 0.5333333328 0.0444444444 4.56 22.8 50.0 0.99 0.125
16 0 0 29.0 0.5777777772 0.0444444444 4.56 22.8 50.0 0.99 0.125
17 0 0 31.0 0.6222222216 0.0444444444 4.56 22.8 50.0 0.99 0.125
18 0 0 33.0 0.666666666 0.0444444444 4.56 22.8 50.0 0.99 0.125
19 0 0 35.0 0.7111111104 0.0444444444 4.56 22.8 50.0 0.99 0.125
20 0 0 37.0 0.7555555548 0.0444444444 4.56 22.8 50.0 0.99 0.125
