ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
3 0 0 4.0 0.0444444444 0.0444444444 2.28 22.8 50.0 0.99 1.0
4 0 0 6.0 0.0888888888 0.0444444444 2.28 22.8 50.0 0.99 1.0
5 0 0 8.0 0.1333333332 0.0444444444 2.28 22.8 50.0 0.99 1.0
6 0 0 10.0 0.1777777776 0.0444444444 2.28 22.8 50.0 0.99 1.0
7 0 0 12.0 0.222222222 0.0444444444 2.28 22.8 50.0 0.99 1.0
8 0 0 14.0 0.2666666664 0.0444444444 2.28 22.8 50.0 0.99 1.0
9 0 0 16.0 0.3111111108 0.0444444444 2.28 22.8 50.0 0.99 1.0
10 0 0 18.0 0.3555555552 0.0444444444 2.28 22.8 50.0 0.99 1.0
11 0 0 20.0 0.3999999996 0.0444444444 2.28 22.8 50.0 0.99 1.0
12 0 0 22.0 0.444444444 0.0444444444 2.28 22.8 50.0 0.99 1.0
13 0 0 24.0 0.4888888884 0.0444444444 2.28 22.8 50.0 0.99 1.0
15 0 0 27.0 0.5333333328 0.0444444444 2.28 22.8 50.0 0.99 1.0
16 0 0 29.0 0.5777777772 0.0444444444 2.28 22.8 50.0 0.99 1.0
17 0 0 31.0 0.6222222216 0.0444444444 2.28 22.8 50.0 0.99 1.0
17 0 0 32.0 0.666666666 0.0444444444 2.28 22.8 50.0 0.99 1.0
19 0 0 35.0 0.7111111104 0.0444444444 2.28 22.8 50.0 0.99 1.0
19 0 0 36.0 0.7555555548 0.0444444444 2.28 22.8 50.0 0.99 1.0
