ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
3 0 0 1002.9999999999999 0.0444444444 0.0444444444 18.2 22.8 100.0 0.99999 1.0
4 0 0 2003.9999999999998 0.0888888888 0.0444444444 18.2 22.8 100.0 0.99999 1.0
5 0 0 3005.0 0.1333333332 0.0444444444 18.2 22.8 100.0 0.99999 1.0
6 0 0 4005.9999999999995 0.1777777776 0.0444444444 18.2 22.8 100.0 0.99999 1.0
7 0 0 5007.0 0.222222222 0.0444444444 18.2 22.8 100.0 0.99999 1.0
8 0 0 6008.0 0.2666666664 0.0444444444 18.2 22.8 100.0 0.99999 1.0
10 0 0 7010.0 0.3111111108 0.0444444444 18.2 22.8 100.0 0.99999 1.0
11 0 0 8010.999999999999 0.3555555552 0.0444444444 18.2 22.8 100.0 0.99999 1.0
12 0 0 9012.0 0.3999999996 0.0444444444 18.2 22.8 100.0 0.99999 1.0
13 0 0 10013.0 0.444444444 0.0444444444 18.2 22.8 100.0 0.99999 1.0
14 0 0 11014.0 0.4888888884 0.0444444444 18.2 22.8 100.0 0.99999 1.0
15 0 0 12015.0 0.5333333328 0.0444444444 18.2 22.8 100.0 0.99999 1.0
16 0 0 13016.000000000002 0.5777777772 0.0444444444 18.2 22.8 100.0 0.99999 1.0
17 0 0 14017.0 0.6222222216 0.0444444444 18.2 22.8 100.0 0.99999 1.0
18 0 0 15018.0 0.666666666 0.0444444444 18.2 22.8 100.0 0.99999 1.0
19 0 0 16018.999999999998 0.7111111104 0.0444444444 18.2 22.8 100.0 0.99999 1.0
20 0 0 17020.0 0.7555555548 0.0444444444 18.2 22.8 100.0 0.99999 1.0
0 21 1.0 18021.0 0.7999999992 0.0444444444 18.2 22.8 100.0 0.99999 1.0
0 22 1.0 19022.0 0.8444444436 0.0444444444 18.2 22.8 100.0 0.99999 1.0
0 23 1.0 20023.0 0.888888888 0.0444444444 18.2 22.8 100.0 0.99999 1.0
0 24 1.0 21024.0 0.9333333324 0.0444444444 18.2 22.8 100.0 0.99999 1.0
0 25 1.0 22025.0 0.9777777768 0.0444444444 18.2 22.8 100.0 0.99999 1.0
0 26 1.0 23026.000000000004 1.0222222212 0.0444444444 18.2 22.8 100.0 0.99999 1.0
0 27 1.0 24027.0 1.0666666656 0.0444444444 18.2 22.8 100.0 0.99999 1.0
0 28 1.0 25028.000000000004 1.11111111 0.0444444444 18.2 22.8 100.0 0.99999 1.0
0 29 1.0 26029.000000000004 1.1555555544 0.0444444444 18.2 22.8 100.0 0.99999 1.0
0 30 1.0 27030.000000000004 1.1999999988 0.0444444444 18.2 22.8 100.0 0.99999 1.0
0 31 1.0 28031.0 1.2444444432 0.0444444444 18.2 22.8 100.0 0.99999 1.0
0 32 1.0 29032.000000000004 1.2888888876 0.0444444444 18.2 22.8 100.0 0.99999 1.0
0 33 1.0 30033.0 1.333333332 0.0444444444 18.2 22.8 100.0 0.99999 1.0
0 34 1.0 31034.0 1.3777777764 0.0444444444 18.2 22.8 100.0 0.99999 1.0
0 34 1.0 32033.999999999996 1.4222222208 0.0444444444 18.2 22.8 100.0 0.99999 1.0
0 35 1.0 33035.0 1.4666666652 0.0444444444 18.2 22.8 100.0 0.99999 1.0
0 36 1.0 34036.0 1.5111111096 0.0444444444 18.2 22.8 100.0 0.99999 1.0
0 37 1.0 35037.0 1.555555554 0.0444444444 18.2 22.8 100.0 0.99999 1.0
0 38 1.0 36038.0 1.5999999984 0.0444444444 18.2 22.8 100.0 0.99999 1.0
0 39 1.0 37039.0 1.6444444428 0.0444444444 18.2 22.8 100.0 0.99999 1.0
0 40 1.0 38040.0 1.6888888872 0.0444444444 18.2 22.8 100.0 0.99999 1.0
7 36 0.8699999999999999 39043.0 1.7333333316 0.0444444444 18.2 22.8 100.0 0.99999 1.0
8 36 0.8499999999999999 40044.0 1.777777776 0.0444444444 18.2 22.8 100.0 0.99999 1.0
9 36 0.83 41045.0 1.8222222204 0.0444444444 18.2 22.8 100.0 0.99999 1.0
7 39 0.88 42046.0 1.8666666648 0.0444444444 18.2 22.8 100.0 0.99999 1.0
8 39 0.86 43047.0 1.9111111092 0.0444444444 18.2 22.8 100.0 0.99999 1.0
14 34 0.7299999999999999 44048.0 1.9555555536 0.0444444444 18.2 22.8 100.0 0.99999 1.0
13 36 0.7599999999999999 45049.0 1.999999998 0.0444444444 18.2 22.8 100.0 0.99999 1.0
14 36 0.7399999999999999 46050.00000000001 2.0444444424 0.0444444444 18.2 22.8 100.0 0.99999 1.0
11 40 0.81 47051.0 2.0888888868 0.0444444444 18.2 22.8 100.0 0.99999 1.0
15 37 0.73 48052.0 2.1333333312 0.0444444444 18.2 22.8 100.0 0.99999 1.0
20 34 0.6399999999999999 49054.0 2.1777777756 0.0444444444 18.2 22.8 100.0 0.99999 1.0
20 35 0.6499999999999999 50055.00000000001 2.22222222 0.0444444444 18.2 22.8 100.0 0.99999 1.0
20 36 0.6499999999999999 51056.00000000001 2.2666666644 0.0444444444 18.2 22.8 100.0 0.99999 1.0
20 37 0.6599999999999999 52057.00000000001 2.3111111088 0.0444444444 18.2 22.8 100.0 0.99999 1.0
17 40 0.72 53057.0 2.3555555532 0.0444444444 18.2 22.8 100.0 0.99999 1.0
20 39 0.6699999999999999 54059.00000000001 2.3999999976 0.0444444444 18.2 22.8 100.0 0.99999 1.0
20 40 0.6799999999999999 55060.0 2.444444442 0.0444444444 18.2 22.8 100.0 0.99999 1.0
