ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
3 0 0 11.400000000000006 0.0444444444 0.0444444444 6.84 22.8 50.0 0.99 5.0
4 0 0 22.400000000000013 0.0888888888 0.0444444444 6.84 22.8 50.0 0.99 5.0
6 0 0 33.56000000000001 0.1333333332 0.0444444444 6.84 22.8 50.0 0.99 5.0
7 0 0 44.40000000000002 0.1777777776 0.0444444444 6.84 22.8 50.0 0.99 5.0
8 0 0 56.40000000000003 0.222222222 0.0444444444 6.84 22.8 50.0 0.99 5.0
9 0 0 67.56000000000003 0.2666666664 0.0444444444 6.84 22.8 50.0 0.99 5.0
10 0 0 78.88000000000004 0.3111111108 0.0444444444 6.84 22.8 50.0 0.99 5.0
11 0 0 89.72000000000006 0.3555555552 0.0444444444 6.84 22.8 50.0 0.99 5.0
12 0 0 100.56000000000006 0.3999999996 0.0444444444 6.84 22.8 50.0 0.99 5.0
13 0 0 111.40000000000006 0.444444444 0.0444444444 6.84 22.8 50.0 0.99 5.0
14 0 0 124.0 0.4888888884 0.0444444444 6.84 22.8 50.0 0.99 5.0
15 0 0 135.0 0.5333333328 0.0444444444 6.84 22.8 50.0 0.99 5.0
16 0 0 146.0 0.5777777772 0.0444444444 6.84 22.8 50.0 0.99 5.0
17 0 0 157.0 0.6222222216 0.0444444444 6.84 22.8 50.0 0.99 5.0
18 0 0 168.00000000000003 0.666666666 0.0444444444 6.84 22.8 50.0 0.99 5.0
19 0 0 179.0 0.7111111104 0.0444444444 6.84 22.8 50.0 0.99 5.0
20 0 0 190.0 0.7555555548 0.0444444444 6.84 22.8 50.0 0.99 5.0
