l_,ce,cc,z,pe,pc,dpe,dpc,avge,avgc,tot_avg
0.0888888888,0,4,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384189780276,45.06384189780276
0.0888888888,0,4,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384189780276,45.06384189780276
0.0444444444,0,3,1.0,1.0,0.99999999993291,0.0,77.1999999999999,0.0,45.063866507322984,45.063866507322984
0.0888888888,0,4,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384189780276,45.06384189780276
0.0888888888,0,4,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384189780276,45.06384189780276
0.0444444444,0,3,1.0,1.0,0.99999999993291,0.0,77.1999999999999,0.0,45.063866507322984,45.063866507322984
0.0888888888,0,4,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384189780276,45.06384189780276
0.0888888888,0,4,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384189780276,45.06384189780276
0.0888888888,0,4,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384189780276,45.06384189780276
0.0888888888,0,4,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384189780276,45.06384189780276
0.0888888888,0,4,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384189780276,45.06384189780276
0.0888888888,0,4,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384189780276,45.06384189780276
0.0888888888,0,4,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384189780276,45.06384189780276
0.0888888888,0,4,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384189780276,45.06384189780276
0.1333333332,0,5,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.063841434789644,45.063841434789644
0.0444444444,0,3,1.0,1.0,0.99999999993291,0.0,77.1999999999999,0.0,45.063866507322984,45.063866507322984
0.0888888888,0,4,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384189780276,45.06384189780276
0.0444444444,0,3,1.0,1.0,0.99999999993291,0.0,77.1999999999999,0.0,45.063866507322984,45.063866507322984
0.0888888888,0,4,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384189780276,45.06384189780276
0.0888888888,0,4,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384189780276,45.06384189780276
0.1333333332,0,5,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.063841434789644,45.063841434789644
0.0888888888,0,4,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384189780276,45.06384189780276
0.1333333332,0,5,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.063841434789644,45.063841434789644
0.1333333332,0,5,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.063841434789644,45.063841434789644
0.1333333332,0,5,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.063841434789644,45.063841434789644
0.222222222,0,8,1.0,1.0,0.999999999933046,0.0,77.1999999999999,0.0,45.06384142524101,45.06384142524101
0.222222222,0,8,1.0,1.0,0.999999999933046,0.0,77.1999999999999,0.0,45.06384142524101,45.06384142524101
0.222222222,0,8,1.0,1.0,0.999999999933046,0.0,77.1999999999999,0.0,45.06384142524101,45.06384142524101
0.1777777776,0,7,1.0,1.0,0.999999999933041,0.0,77.1999999999999,0.0,45.06384142524563,45.06384142524563
0.222222222,0,8,1.0,1.0,0.999999999933046,0.0,77.1999999999999,0.0,45.06384142524101,45.06384142524101
0.3111111108,0,10,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.063841425240994,45.063841425240994
0.3111111108,0,10,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.063841425240994,45.063841425240994
0.3555555552,0,11,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384142524097,45.06384142524097
0.2666666664,0,9,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.063841425240994,45.063841425240994
0.3111111108,0,10,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.063841425240994,45.063841425240994
0.2666666664,0,9,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.063841425240994,45.063841425240994
0.2666666664,0,9,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.063841425240994,45.063841425240994
0.3111111108,0,10,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.063841425240994,45.063841425240994
0.3555555552,0,11,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384142524097,45.06384142524097
